"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";
"1";"";"PINHD-1X2";"1X02";"CN4";"PIN HEADER";"";"";"";"";"";
"1";"";"PINHEAD-1X03";"PINHEAD-1X03";"CN5";"PIN HEADER";"";"";"";"";"";
"1";"0";"SJ";"SJ";"SJ1";"SMD solder JUMPER";"";"";"";"";"";
"9";"0.1uF";"C-2012";"2012";"C3, C4, C5, C6, C8, C9, C10, C12, C13";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"10uF";"CPOL";"E2-5";"C7";"";"";"";"";"";"";
"1";"16MHz";"XTAL-HC-49/S";"XTAL-HC-49/S";"Q1";"CRYSTAL";"";"";"";"";"";
"2";"1K";"R";"2012";"R2, R4";"RESISTOR";"";"";"";"";"";
"1";"200";"R";"2012";"R9";"RESISTOR";"";"";"";"";"";
"2";"22pF";"C-2012";"2012";"C1, C2";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"2SC1815";"2SC1815";"TO92-ECB";"T1";"NPN EPITAXIAL TRANSISTOR";"";"";"";"";"";
"1";"3.3V";"LED-2012";"LED-2012";"LED3";"Through-hole LED";"";"";"";"";"";
"4";"330";"R";"2012";"R1, R3, R5, R6";"RESISTOR";"";"";"";"";"";
"1";"4.7k";"R";"2012";"RB";"RESISTOR";"";"";"";"";"";
"1";"4.7uF";"C-2012";"2012";"C11";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"47";"R";"2012";"RC";"RESISTOR";"";"";"";"";"";
"1";"5V";"LED-2012";"LED-2012";"LED1";"Through-hole LED";"";"";"";"";"";
"1";"5b47673";"GIT-REVISION";"GIT-REVISION";"U$1";"";"";"";"";"";"";
"2";"680";"R";"2012";"R7, R8";"RESISTOR";"";"";"";"";"";
"1";"ATmega328P-AU";"ATMEGA168-AU";"TQFP32-08";"IC1";"";"";"";"";"";"";
"2";"B3F-1000";"10-XX";"B3F-10XX";"S1, S2";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"";
"1";"BLE";"LED-2012";"LED-2012";"LED4";"Through-hole LED";"";"";"";"";"";
"1";"BLE112-A-VISUAL";"BLE112-A-VISUAL";"BLE112-A";"IC2";"Bluetooth Low Energy single-mode module - Bluetooth 4.0, chip antenna";"";"";"";"";"";
"1";"CC-HEADER";"PINHD-2X5";"2X05";"CN3";"PIN HEADER";"";"";"";"";"";
"1";"FT232RLSSOP";"FT232RLSSOP";"SSOP28DB";"IC3";"USB UART";"";"";"";"";"IC-00870";
"1";"ICSP";"LED-2012";"LED-2012";"LED2";"Through-hole LED";"";"";"";"";"";
"1";"ICSP";"PINHD-2X3";"2X03";"CN2";"PIN HEADER";"";"";"";"";"";
"1";"OSIR5113A";"LED-3MM";"LED-3MM";"D1";"Through-hole LED";"";"";"";"";"";
"1";"PL-IRM2161";"PL-IRM2161";"IR-RECEIVER";"PL-IRM1";"PL-IRM2161-XD1";"";"";"";"";"";
"4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"STANDOFF1, STANDOFF2, STANDOFF3, STANDOFF4";"#4 Stand Off";"";"";"";"";"";
"1";"USB-MINIB-UX60SC-MB";"USB-MINIB-UX60SC-MB";"USB-MINIB-UX60SC-MB";"CN1";"USB-MiniB";"";"";"";"";"";
"1";"USB/RX";"LED-2012";"LED-2012";"LED6";"Through-hole LED";"";"";"";"";"";
"1";"USB/TX";"LED-2012";"LED-2012";"LED5";"Through-hole LED";"";"";"";"";"";
